"LeftTag","LeftMaster","Date","Year","Ranch","Part","Sex.x","Age","Xloc","Yloc","AdjWt","HindFootLength","BodyLength","BCS","Lactation","RumpFat","Arrival_Time","Fecal","AnnualRain","rain_1month_Previous","rain_2month_Previous","rain_3month_Previous","rain_April","rain_March_April","rain_March_July","rain_July_August","Percent_Sand","AnnualBiomass","WoodyCover","Capt_Loc"
5540,"5540",2015-11-14,2015,"SAV","E",FALSE,1.5,526903.3352,2972711.695,39.008912,13.625,53,3,"No - Not lactating",NA,NA,136.2433925,790.281988115472,177.210930972918,204.418058796044,289.017895782138,141.515523080618,261.299727292756,434.530244047428,15.9838141430973,57.8017291032715,3085.50981351251,33.8321262554919,"SAVE"
4857,"4857",2015-11-15,2015,"SAV","S",FALSE,6.5,526054.1954,2963289.631,58.513368,14.125,54.125,4,"No - Not lactating",NA,NA,215.4325488,805.264038085938,111.33800123632,216.490005330183,278.52000655327,157.082999885082,268.019999295473,459.346999367233,17.6560000181198,54.1181459558484,2337.8624844527,46.7573584490476,"SAVS"
5358,"5358",2015-11-15,2015,"SAV","S",FALSE,6.5,522345.0075,2958345.891,43.998424,13.625,54.5,2,"Yes - Lactating",NA,"11:03",215.6427154,820.364863608566,113.000015945858,205.405591321975,269.004841876131,164.242858507429,274.035526067389,484.950098745571,16.7425049013334,46.3104580545226,2123.45206677972,44.4834254061516,"SAVS"
5368,"5368",2015-11-15,2015,"SAV","S",FALSE,6.5,524410.8126,2960106.413,52.16308,14.25,58,2.5,"No - Not lactating",NA,"11:59",127.0475894,807.31201171875,106.833998426795,205.15799852612,263.923999823164,166.90399817517,271.038997688796,476.618996803183,11.4649999866961,48.7712186684794,1462.7071386659,51.6064294610584,"SAVS"
5385,"5385",2015-11-15,2015,"SAV","S",FALSE,3.5,524342.3317,2964327.665,42.637648,14.25,52,3,"Yes - Lactating",NA,"14:38",150.1963039,805.264038085938,111.33800123632,216.490005330183,278.52000655327,157.082999885082,268.019999295473,459.346999367233,17.6560000181198,52.5436865141511,1023.37021450039,58.5690197690725,"SAVS"
5389,"5389",2015-11-15,2015,"SAV","S",FALSE,5.5,521345.2648,2963821.291,53.070264,14.75,53.125,2.5,"Yes - Lactating",NA,NA,182.7073103,812.056030273438,109.369998216629,210.739995598793,276.324995875359,155.204000003636,268.418001331389,470.034999091178,21.3350004404783,46.408311062713,1538.19401698339,56.3311417082333,"SAVS"
5094,"5094",2015-11-06,2015,"SAV","N",FALSE,4.5,521031.5333,2990779.312,41.730464,14.125,58.5,2,"No - Not lactating",NA,"11:01",203.3105977,708.495056152344,186.9269977808,237.528997600079,247.40999764204,111.903998911381,248.694996953011,388.106995824608,4.39899998903275,56.5800087048924,3882.89903760003,19.0306931620242,"SAVN"
5099,"5099",2015-11-06,2015,"SAV","N",FALSE,4.5,521207.303,2990592.202,36.28736,13,49.75,4,"No - Not lactating",NA,"11:12",161.4019,708.495056152344,186.9269977808,237.528997600079,247.40999764204,111.903998911381,248.694996953011,388.106995824608,4.39899998903275,56.7057773240259,3950.96630355508,16.7460229237795,"SAVN"
5169,"5169",2015-11-06,2015,"SAV","N",FALSE,6.5,522629,2991065,45.3592,13.875,53.5,2,"Yes - Lactating",NA,"13:47",119.5668814,689.974214827562,179.771946846195,229.20929454818,239.389017600812,116.005618753395,252.072898922705,378.717448784285,4.62457472547218,53.9094544353555,3628.42023436592,25.4117047703816,"SAVN"
5144,"5144",2015-11-07,2015,"SAV","W",FALSE,2.5,513407,2982241,46.266384,14.25,55.75,3,"No - Not lactating",NA,"9:02",277.5884189,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,50.4999303838115,3597.72252346578,22.5612899659405,"SAVW"
5178,"5178",2015-11-07,2015,"SAV","W",FALSE,6.5,513729.7563,2982590.674,43.09124,12.75,54.25,3,"No - Not lactating",NA,"9:12",80.92562898,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,50.9142969815862,3849.53527512401,21.4125674651011,"SAVW"
5182,"5182",2015-11-07,2015,"SAV","W",FALSE,5.5,514278.3022,2981794.376,38.55532,14.125,54.5,2,"Yes - Lactating",NA,"9:24",153.573414,724.258309970077,157.254109650844,194.798155337711,206.474311154397,118.962284614029,249.649928548104,448.23732129706,4.53252345541447,50.9314053271871,3718.19774128977,23.6261353198505,"SAVW"
5208,"5208",2015-11-07,2015,"SAV","W",FALSE,5.5,512155.0963,2982103.26,50.802304,14,57.25,2,"No - Not lactating",NA,"10:07",162.3421396,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,51.1365518711946,2814.18594665876,41.3567492738963,"SAVW"
5215,"5215",2015-11-07,2015,"SAV","W",FALSE,6.5,511982.4752,2982130.23,45.812792,14.25,55.25,3,"No - Not lactating",NA,"10:15",297.9611397,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,51.2605778622544,2796.91302091717,42.8602552320929,"SAVW"
